CountryID,Games,HomeWins,HomeDraw,HomeLoss,AwayWins,AwayDraw,AwayLoss,HomeWinRatio,HomeLossRatio,HomeDrawRatio,AwayWinRatio,AwayLossRatio,AwayDrawRatio,TotalPoint,SuccessRate
2,38,7,8,4,1,9,9,0.368421053,0.210526316,0.421052632,0.052631579,0.473684211,0.473684211,41,1
2,38,6,6,7,1,7,11,0.315789474,0.368421053,0.315789474,0.052631579,0.578947368,0.368421053,34,1
2,38,10,5,4,2,5,12,0.526315789,0.210526316,0.263157895,0.105263158,0.631578947,0.263157895,46,1
2,38,10,2,7,2,4,13,0.526315789,0.368421053,0.105263158,0.105263158,0.684210526,0.210526316,42,1
2,38,9,5,5,2,8,9,0.473684211,0.263157895,0.263157895,0.105263158,0.473684211,0.421052632,46,1
2,38,4,5,10,1,3,15,0.210526316,0.526315789,0.263157895,0.052631579,0.789473684,0.157894737,23,1
2,38,8,9,2,2,9,8,0.421052632,0.105263158,0.473684211,0.105263158,0.421052632,0.473684211,48,1
2,38,8,7,4,2,6,11,0.421052632,0.210526316,0.368421053,0.105263158,0.578947368,0.315789474,43,1
2,38,8,6,5,2,4,13,0.421052632,0.263157895,0.315789474,0.105263158,0.684210526,0.210526316,40,1
2,30,9,2,5,2,4,8,0.5625,0.3125,0.125,0.142857143,0.571428571,0.285714286,39,1
2,38,7,5,7,2,10,7,0.368421053,0.368421053,0.263157895,0.105263158,0.368421053,0.526315789,42,1
2,30,7,4,4,2,9,4,0.466666667,0.266666667,0.266666667,0.133333333,0.266666667,0.6,40,1
2,30,7,5,3,2,6,7,0.466666667,0.2,0.333333333,0.133333333,0.466666667,0.4,38,1
2,38,10,4,5,3,10,6,0.526315789,0.263157895,0.210526316,0.157894737,0.315789474,0.526315789,53,1
2,38,9,7,3,3,5,11,0.473684211,0.157894737,0.368421053,0.157894737,0.578947368,0.263157895,48,1
2,38,9,5,5,3,6,10,0.473684211,0.263157895,0.263157895,0.157894737,0.526315789,0.315789474,47,1
2,38,6,6,7,2,2,15,0.315789474,0.368421053,0.315789474,0.105263158,0.789473684,0.105263158,32,1
2,38,9,6,4,3,6,10,0.473684211,0.210526316,0.315789474,0.157894737,0.526315789,0.315789474,48,1
2,38,6,8,5,2,5,12,0.315789474,0.263157895,0.421052632,0.105263158,0.631578947,0.263157895,37,1
2,38,3,6,10,1,5,13,0.157894737,0.526315789,0.315789474,0.052631579,0.684210526,0.263157895,23,1
2,38,11,5,3,4,5,10,0.578947368,0.157894737,0.263157895,0.210526316,0.526315789,0.263157895,55,1
2,38,11,5,3,4,2,13,0.578947368,0.157894737,0.263157895,0.210526316,0.684210526,0.105263158,52,1
2,38,8,1,10,3,7,9,0.421052632,0.526315789,0.052631579,0.157894737,0.473684211,0.368421053,41,1
2,38,8,4,7,3,5,11,0.421052632,0.368421053,0.210526316,0.157894737,0.578947368,0.263157895,42,1
2,38,8,4,7,3,5,11,0.421052632,0.368421053,0.210526316,0.157894737,0.578947368,0.263157895,42,1
2,38,10,4,5,4,7,8,0.526315789,0.263157895,0.210526316,0.210526316,0.421052632,0.368421053,53,1
2,38,5,5,9,2,9,8,0.263157895,0.473684211,0.263157895,0.105263158,0.421052632,0.473684211,35,1
2,38,10,6,3,4,5,10,0.526315789,0.157894737,0.315789474,0.210526316,0.526315789,0.263157895,53,1
2,38,12,4,3,5,3,11,0.631578947,0.157894737,0.210526316,0.263157895,0.578947368,0.157894737,58,1
2,38,7,8,4,3,4,12,0.368421053,0.210526316,0.421052632,0.157894737,0.631578947,0.210526316,42,1
2,38,9,2,8,4,9,6,0.473684211,0.421052632,0.105263158,0.210526316,0.315789474,0.473684211,50,1
2,38,9,3,7,4,5,10,0.473684211,0.368421053,0.157894737,0.210526316,0.526315789,0.263157895,47,1
2,30,9,3,3,4,4,7,0.6,0.2,0.2,0.266666667,0.466666667,0.266666667,46,1
2,38,11,4,4,5,11,3,0.578947368,0.210526316,0.210526316,0.263157895,0.157894737,0.578947368,63,1
2,38,13,3,3,6,4,9,0.684210526,0.157894737,0.157894737,0.315789474,0.473684211,0.210526316,64,1
2,30,7,0,9,3,6,5,0.4375,0.5625,0,0.214285714,0.357142857,0.428571429,36,1
2,38,14,3,2,7,4,8,0.736842105,0.105263158,0.157894737,0.368421053,0.421052632,0.210526316,70,1
2,38,8,4,7,4,7,8,0.421052632,0.368421053,0.210526316,0.210526316,0.421052632,0.368421053,47,1
2,38,8,6,5,4,9,6,0.421052632,0.263157895,0.315789474,0.210526316,0.315789474,0.473684211,51,1
2,38,8,8,3,4,5,10,0.421052632,0.157894737,0.421052632,0.210526316,0.526315789,0.263157895,49,1
2,38,2,6,11,1,5,13,0.105263158,0.578947368,0.315789474,0.052631579,0.684210526,0.263157895,20,1
2,38,10,5,4,5,6,8,0.526315789,0.210526316,0.263157895,0.263157895,0.421052632,0.315789474,56,1
2,38,8,7,4,4,5,10,0.421052632,0.210526316,0.368421053,0.210526316,0.526315789,0.263157895,48,1
2,38,6,8,5,3,6,10,0.315789474,0.263157895,0.421052632,0.157894737,0.526315789,0.315789474,41,1
2,38,6,5,8,3,6,10,0.315789474,0.421052632,0.263157895,0.157894737,0.526315789,0.315789474,38,1
2,38,6,4,9,3,5,11,0.315789474,0.473684211,0.210526316,0.157894737,0.578947368,0.263157895,36,1
2,30,6,6,3,3,6,6,0.4,0.2,0.4,0.2,0.4,0.4,39,1
2,30,6,5,4,3,3,9,0.4,0.266666667,0.333333333,0.2,0.6,0.2,35,1
2,38,13,3,3,7,8,4,0.684210526,0.157894737,0.157894737,0.368421053,0.210526316,0.421052632,71,1
2,38,11,7,1,6,6,7,0.578947368,0.052631579,0.368421053,0.315789474,0.368421053,0.315789474,64,1
2,38,16,2,1,9,5,5,0.842105263,0.052631579,0.105263158,0.473684211,0.263157895,0.263157895,82,1
2,38,7,7,5,4,4,11,0.368421053,0.263157895,0.368421053,0.210526316,0.578947368,0.210526316,44,1
2,38,7,6,6,4,5,10,0.368421053,0.315789474,0.315789474,0.210526316,0.526315789,0.263157895,44,1
2,30,7,5,3,4,6,5,0.466666667,0.2,0.333333333,0.266666667,0.333333333,0.4,44,1
2,38,12,4,3,7,3,9,0.631578947,0.157894737,0.210526316,0.368421053,0.473684211,0.157894737,64,1
2,38,10,7,2,6,3,10,0.526315789,0.105263158,0.368421053,0.315789474,0.526315789,0.157894737,58,1
2,38,5,3,11,3,2,14,0.263157895,0.578947368,0.157894737,0.157894737,0.736842105,0.105263158,29,1
2,38,10,3,6,6,9,4,0.526315789,0.315789474,0.157894737,0.315789474,0.210526316,0.473684211,60,1
2,38,5,9,5,3,9,7,0.263157895,0.263157895,0.473684211,0.157894737,0.368421053,0.473684211,42,1
2,30,5,5,5,3,4,8,0.333333333,0.333333333,0.333333333,0.2,0.533333333,0.266666667,33,1
2,38,13,5,1,8,8,3,0.684210526,0.052631579,0.263157895,0.421052632,0.157894737,0.421052632,76,1
2,38,8,3,8,5,6,8,0.421052632,0.421052632,0.157894737,0.263157895,0.421052632,0.315789474,48,1
2,38,8,8,3,5,8,6,0.421052632,0.157894737,0.421052632,0.263157895,0.315789474,0.421052632,55,1
2,38,8,4,7,5,6,8,0.421052632,0.368421053,0.210526316,0.263157895,0.421052632,0.315789474,49,1
2,38,8,7,4,5,3,11,0.421052632,0.210526316,0.368421053,0.263157895,0.578947368,0.157894737,49,1
2,30,8,2,5,5,6,4,0.533333333,0.333333333,0.133333333,0.333333333,0.266666667,0.4,47,1
2,30,7,3,4,5,3,8,0.5,0.285714286,0.214285714,0.3125,0.5,0.1875,42,1
2,38,11,5,3,7,5,7,0.578947368,0.157894737,0.263157895,0.368421053,0.368421053,0.263157895,64,1
2,38,14,3,2,9,6,4,0.736842105,0.105263158,0.157894737,0.473684211,0.210526316,0.315789474,78,1
2,38,14,3,2,9,7,3,0.736842105,0.105263158,0.157894737,0.473684211,0.157894737,0.368421053,79,1
2,38,12,4,3,8,8,3,0.631578947,0.157894737,0.210526316,0.421052632,0.157894737,0.421052632,72,1
2,38,12,4,3,8,5,6,0.631578947,0.157894737,0.210526316,0.421052632,0.315789474,0.263157895,69,1
2,38,9,8,2,6,7,6,0.473684211,0.105263158,0.421052632,0.315789474,0.315789474,0.368421053,60,1
2,38,9,6,4,6,5,8,0.473684211,0.210526316,0.315789474,0.315789474,0.421052632,0.263157895,56,1
2,38,6,10,3,4,9,6,0.315789474,0.157894737,0.526315789,0.210526316,0.315789474,0.473684211,49,1
2,38,6,5,8,4,6,9,0.315789474,0.421052632,0.263157895,0.210526316,0.473684211,0.315789474,41,1
2,38,6,7,6,4,3,12,0.315789474,0.315789474,0.368421053,0.210526316,0.631578947,0.157894737,40,1
2,38,12,5,2,8,4,7,0.631578947,0.105263158,0.263157895,0.421052632,0.368421053,0.210526316,69,1
2,30,3,7,5,2,4,9,0.2,0.333333333,0.466666667,0.133333333,0.6,0.266666667,26,1
2,38,7,7,5,5,6,8,0.368421053,0.263157895,0.368421053,0.263157895,0.421052632,0.315789474,49,1
2,38,7,5,7,5,6,8,0.368421053,0.368421053,0.263157895,0.263157895,0.421052632,0.315789474,47,1
2,38,7,6,6,5,6,8,0.368421053,0.315789474,0.315789474,0.263157895,0.421052632,0.315789474,48,1
2,38,11,4,4,8,6,5,0.578947368,0.210526316,0.210526316,0.421052632,0.263157895,0.315789474,67,1
2,38,4,5,10,3,5,11,0.210526316,0.526315789,0.263157895,0.157894737,0.578947368,0.263157895,31,1
2,38,8,4,7,6,4,9,0.421052632,0.368421053,0.210526316,0.315789474,0.473684211,0.210526316,50,1
2,38,12,5,2,9,6,4,0.631578947,0.105263158,0.263157895,0.473684211,0.210526316,0.315789474,74,1
2,38,12,4,3,9,4,6,0.631578947,0.157894737,0.210526316,0.473684211,0.315789474,0.210526316,71,1
2,38,4,5,10,3,3,13,0.210526316,0.526315789,0.263157895,0.157894737,0.684210526,0.157894737,29,1
2,30,4,7,4,3,5,7,0.266666667,0.266666667,0.466666667,0.2,0.466666667,0.333333333,33,1
2,38,9,8,2,7,5,7,0.473684211,0.105263158,0.421052632,0.368421053,0.368421053,0.263157895,61,1
2,38,9,4,6,7,5,7,0.473684211,0.315789474,0.210526316,0.368421053,0.368421053,0.263157895,57,1
2,38,9,7,3,7,7,5,0.473684211,0.157894737,0.368421053,0.368421053,0.263157895,0.368421053,62,1
2,38,10,7,2,8,7,4,0.526315789,0.105263158,0.368421053,0.421052632,0.210526316,0.368421053,68,1
2,38,5,9,5,4,8,7,0.263157895,0.263157895,0.473684211,0.210526316,0.368421053,0.421052632,44,1
2,38,5,5,9,4,6,9,0.263157895,0.473684211,0.263157895,0.210526316,0.473684211,0.315789474,38,1
2,38,15,3,1,12,5,2,0.789473684,0.052631579,0.157894737,0.631578947,0.105263158,0.263157895,89,1
2,38,11,5,3,9,6,4,0.578947368,0.157894737,0.263157895,0.473684211,0.210526316,0.315789474,71,1
2,38,6,7,6,5,6,8,0.315789474,0.315789474,0.368421053,0.263157895,0.421052632,0.315789474,46,1
2,38,6,9,4,5,4,10,0.315789474,0.210526316,0.473684211,0.263157895,0.526315789,0.210526316,46,1
2,38,6,9,4,5,3,11,0.315789474,0.210526316,0.473684211,0.263157895,0.578947368,0.157894737,45,1
2,38,7,7,5,6,5,8,0.368421053,0.263157895,0.368421053,0.315789474,0.421052632,0.263157895,51,1
